Race,City,State,Gender,Lat,Long,Time,Dist
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:33:51 AM,0
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:33:59 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:33:59 AM,0
Parkway,Hartington,NE,M,42.6224992,-97.2644984,1:34:00 AM,282.2
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:34:09 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:34:10 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:34:11 AM,0
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:34:16 AM,7.4
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:34:18 AM,0
Parkway,Tonganoxie,KS,M,39.109724,-95.0877464,1:34:23 AM,28.3
Parkway,Grain Valley,MO,M,39.0150069,-94.1985579,1:34:23 AM,20.2
Parkway,Vine Grove,KY,M,37.8100674,-85.9813523,1:34:23 AM,473.5
Parkway,Nevada,MO,M,37.8389595,-94.3549186,1:34:24 AM,86.6
Parkway,Columbia,MO,M,38.951883,-92.3337365,1:34:24 AM,120.3
Parkway,Lenexa,KS,M,38.9536174,-94.7335708,1:34:26 AM,12.9
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:34:27 AM,9.1
Parkway,Lawrence,KS,M,38.9719384,-95.2359495,1:34:30 AM,37
Parkway,Shawnee,KS,F,39.0416718,-94.7202375,1:34:31 AM,9
Parkway,Liberty,MO,F,39.2463496,-94.4189374,1:34:34 AM,13.6
Parkway,Shawnee,KS,M,39.0416718,-94.7202375,1:34:35 AM,9
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:34:36 AM,9.1
Parkway,Olathe,KS,F,38.8843867,-94.8161126,1:34:40 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:34:44 AM,0
Parkway,Fort Scott,KS,M,37.8399791,-94.7082881,1:34:45 AM,86.2
Parkway,Lee's Summit,MO,F,38.9108408,-94.3821723,1:34:50 AM,15.4
Parkway,Kansas City,KS,F,39.1146799,-94.7495245,1:34:51 AM,10.2
Parkway,Saint Joseph,MO,M,39.7686055,-94.8466321,1:34:55 AM,49.6
Parkway,Prairie Village,KS,F,38.9914109,-94.6332767,1:35:02 AM,7.4
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:35:10 AM,9.1
Parkway,Lee's Summit,MO,F,38.9108408,-94.3821723,1:35:17 AM,15.4
Parkway,Prairie Village,KS,M,38.9914109,-94.6332767,1:35:17 AM,7.4
Parkway,Lawrence,KS,M,38.9719384,-95.2359495,1:35:17 AM,37
Parkway,Shawnee,KS,M,39.0416718,-94.7202375,1:35:20 AM,9
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:35:22 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:35:22 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:35:24 AM,9.1
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:35:28 AM,0
