Age Group Place,Chip Time
24 F 35-39,1:45:25 AM
36 F 25-29,1:45:26 AM
7 F 40-44,1:45:28 AM
6 M 60-64,1:45:28 AM
2 M 65-69,1:45:28 AM
91 M 35-39,1:45:30 AM
37 M 45-49,1:45:30 AM
92 M 35-39,1:45:31 AM
37 F 25-29,1:45:31 AM
83 M 30-34,1:45:35 AM
59 M 40-44,1:45:35 AM
93 M 35-39,1:45:36 AM
60 M 40-44,1:45:38 AM
36 F 30-34,1:45:38 AM
38 F 25-29,1:45:40 AM
58 M 25-29,1:45:40 AM
94 M 35-39,1:45:43 AM
38 M 45-49,1:45:44 AM
39 M 45-49,1:45:48 AM
95 M 35-39,1:45:48 AM
96 M 35-39,1:45:48 AM
19 F 20-24,1:45:50 AM
4 F 50-54,1:45:51 AM
61 M 40-44,1:45:55 AM
25 F 35-39,1:45:55 AM
40 M 45-49,1:45:56 AM
39 F 25-29,1:45:57 AM
26 F 35-39,1:45:59 AM
5 F 50-54,1:46:00 AM
27 F 35-39,1:46:03 AM
40 F 25-29,1:46:06 AM
35 M 20-24,1:46:06 AM
59 M 25-29,1:46:09 AM
60 M 25-29,1:46:11 AM
28 M 50-54,1:46:12 AM
84 M 30-34,1:46:12 AM
28 F 35-39,1:46:14 AM
62 M 40-44,1:46:15 AM
85 M 30-34,1:46:15 AM
61 M 25-29,1:46:16 AM
37 F 30-34,1:46:18 AM
41 F 25-29,1:46:19 AM
97 M 35-39,1:46:20 AM
20 F 20-24,1:46:20 AM
98 M 35-39,1:46:23 AM
38 F 30-34,1:46:27 AM
21 F 20-24,1:46:27 AM
39 F 30-34,1:46:28 AM
62 M 25-29,1:46:29 AM
99 M 35-39,1:46:30 AM
8 F 40-44,1:46:31 AM
29 F 35-39,1:46:33 AM
100 M 35-39,1:46:34 AM
22 F 20-24,1:46:34 AM
6 F 50-54,1:46:34 AM
41 M 45-49,1:46:41 AM
63 M 40-44,1:46:42 AM
6 F 45-49,1:46:42 AM
40 F 30-34,1:46:43 AM
42 M 45-49,1:46:51 AM
29 M 50-54,1:46:53 AM
101 M 35-39,1:46:54 AM
30 F 35-39,1:46:55 AM
13 M 55-59,1:46:55 AM
7 F 50-54,1:46:55 AM
102 M 35-39,1:46:57 AM
103 M 35-39,1:46:59 AM
64 M 40-44,1:46:59 AM
65 M 40-44,1:46:59 AM
41 F 30-34,1:46:59 AM
36 M 20-24,1:47:01 AM
8 F 50-54,1:47:01 AM
42 F 30-34,1:47:01 AM
