DIVISION,TIME
M4044,2:00:12
F3539,2:00:14
M3539,2:00:18
F3034,2:00:19
F2529,2:00:21
F3539,2:00:21
PACER,2:00:21
M4044,2:00:23
F5054,2:00:23
F3034,2:00:34
M4549,2:00:36
M4044,2:00:41
F3539,2:00:45
M3539,2:00:46
M5054,2:00:57
M4549,2:01:00
F5559,2:01:02
M3034,2:01:06
M4549,2:01:06
M5054,2:01:07
M4549,2:01:07
F4044,2:01:07
F4549,2:01:11
M4044,2:01:11
F4549,2:01:12
M4549,2:01:13
M3539,2:01:16
M3539,2:01:16
M5559,2:01:17
F1924,2:01:24
F3539,2:01:27
F3034,2:01:29
M4549,2:01:29
F1924,2:01:30
F3034,2:01:36
M1924,2:01:36
F2529,2:01:36
M3539,2:01:38
F6569,2:01:38
M3034,2:01:40
F4044,2:01:43
M2529,2:01:47
F4549,2:01:47
M3539,2:01:48
M3034,2:01:48
M3034,2:01:48
M3034,2:01:49
M5054,2:01:49
F3034,2:01:51
M3539,2:01:53
M3034,2:01:54
F3539,2:01:56
M5559,2:01:56
F4044,2:01:58
M4044,2:02:00
F3539,2:02:01
F4044,2:02:02
M2529,2:02:05
M3034,2:02:08
F3539,2:02:13
F4549,2:02:22
F3034,2:02:27
M5054,2:02:30
F3539,2:02:30
M3539,2:02:32
F4044,2:02:36
F3034,2:02:36
M4549,2:02:37
F4549,2:02:39
F5054,2:02:39
F3539,2:02:42
M4044,2:02:43
F1924,2:02:44
M4044,2:02:45
F3034,2:02:47
M3034,2:02:47
F2529,2:02:49
M1924,2:02:52
M3539,2:02:53
PACER,2:02:54
M3034,2:02:58
F3034,2:03:00
M2529,2:03:03
F4549,2:03:03
M4044,2:03:04
F3539,2:03:08
F4549,2:03:09
M3539,2:03:09
M3034,2:03:10
M3034,2:03:14
M3539,2:03:17
M3034,2:03:18
F3539,2:03:19
M70UP,2:03:19
M4044,2:03:20
F4044,2:03:20
M3539,2:03:21
M4044,2:03:22
F3034,2:03:23
M3539,2:03:23
M3539,2:03:24
F3539,2:03:28
F3034,2:03:28
M2529,2:03:30
F3539,2:03:33
PACER,2:03:33
F4549,2:03:37
M2529,2:03:37
F3034,2:03:38
M3034,2:03:39
F4549,2:03:40
F3034,2:03:40
F2529,2:03:41
M4044,2:03:44
F1924,2:03:47
F2529,2:03:49
M4549,2:03:53
F3034,2:03:54
M4044,2:03:59
M3034,2:04:06
F1924,2:04:10
PACER,2:04:11
M3539,2:04:12
M4549,2:04:12
F2529,2:04:14
M3539,2:04:15
F1924,2:04:17
F2529,2:04:25
F3034,2:04:25
F4549,2:04:30
F3539,2:04:38
M2529,2:04:38
F5054,2:04:38
F3539,2:04:39
F3539,2:04:40
F3034,2:04:40
F3034,2:04:44
M4044,2:04:47
M5054,2:04:51
F5054,2:04:53
F3539,2:04:56
F4549,2:04:59
F1924,2:05:00
F1924,2:05:01
F1924,2:05:02
M4549,2:05:11
M5054,2:05:16
M4549,2:05:16
F2529,2:05:18
F3539,2:05:18
F4044,2:05:23
F5559,2:05:24
F4549,2:05:25
M4549,2:05:27
M3034,2:05:28
M4549,2:05:31
F4549,2:05:33
F2529,2:05:36
M4044,2:05:43
M4549,2:05:45
F3034,2:05:46
F4044,2:05:51
F4044,2:05:55
F4044,2:05:55
M2529,2:05:55
M5054,2:05:55
M3539,2:05:59
F5559,2:06:00
M4044,2:06:01
M3539,2:06:04
F4549,2:06:05
F3539,2:06:07
M3539,2:06:12
F3034,2:06:12
M4044,2:06:15
M3034,2:06:17
M4044,2:06:20
F3539,2:06:20
M4549,2:06:20
M5559,2:06:22
F4549,2:06:22
M2529,2:06:28
F3539,2:06:30
F3034,2:06:31
F4044,2:06:33
F3034,2:06:34
M6064,2:06:35
M3034,2:06:36
F2529,2:06:36
F1924,2:06:36
F3034,2:06:37
F3539,2:06:37
F4044,2:06:39
F4549,2:06:41
F3539,2:06:42
F6064,2:06:43
M4044,2:06:46
F4044,2:06:56
F4044,2:06:57
F4044,2:06:57
M4549,2:06:57
M4549,2:06:58
M3034,2:07:02
M4549,2:07:02
M3539,2:07:03
M1924,2:07:09
M5559,2:07:10
M5559,2:07:11
M4549,2:07:12
F1924,2:07:20
F1924,2:07:21
F3034,2:07:21
F3034,2:07:22
F3034,2:07:25
F3034,2:07:26
M4549,2:07:29
M4549,2:07:30
M4549,2:07:30
M4549,2:07:31
M6064,2:07:35
F2529,2:07:42
M3539,2:07:43
F1924,2:07:44
F4549,2:07:45
F4044,2:07:57
F1924,2:07:57
M3539,2:07:58
M3034,2:08:02
F5054,2:08:07
F2529,2:08:08
M4044,2:08:08
F3539,2:08:11
F3539,2:08:13
F2529,2:08:16
F4044,2:08:19
F3034,2:08:20
M3034,2:08:22
F4044,2:08:27
M4044,2:08:27
F1924,2:08:31
F1924,2:08:31
F4044,2:08:32
M1924,2:08:37
F4549,2:08:37
F3034,2:08:39
F3034,2:08:40
F4044,2:08:45
F3034,2:08:51
F1924,2:08:51
M2529,2:08:56
F5559,2:08:57
M4549,2:08:58
M4044,2:08:59
F5054,2:09:03
F4044,2:09:05
M1924,2:09:06
F2529,2:09:06
F2529,2:09:06
F4549,2:09:09
F4549,2:09:09
F1924,2:09:10
M3034,2:09:13
F5054,2:09:13
M5054,2:09:14
M5054,2:09:17
F4044,2:09:17
F4549,2:09:17
M4549,2:09:18
F4044,2:09:18
F3539,2:09:23
F1924,2:09:24
F4549,2:09:24
F5054,2:09:24
F3034,2:09:26
M4549,2:09:28
F2529,2:09:28
F3539,2:09:31
F3539,2:09:32
M4549,2:09:36
M4549,2:09:39
M4044,2:09:39
M3034,2:09:43
F4549,2:09:45
F4044,2:09:45
F4549,2:09:46
M3539,2:09:47
M4044,2:09:49
M4549,2:09:52
M3034,2:09:52
F3539,2:09:54
M4549,2:09:54
M4549,2:09:56
F4044,2:09:57
F3034,2:09:59
M3539,2:09:59
M3034,2:10:00
F5054,2:10:01
F2529,2:10:02
F3034,2:10:02
F4549,2:10:03
F3539,2:10:04
M4044,2:10:07
M4044,2:10:07
PACER,2:10:08
F4044,2:10:08
F3539,2:10:08
PACER,2:10:16
F2529,2:10:16
M4549,2:10:18
M4044,2:10:18
M4549,2:10:18
M6064,2:10:19
F4044,2:10:19
F2529,2:10:24
F2529,2:10:27
M5054,2:10:27
M3034,2:10:30
M4549,2:10:30
F2529,2:10:31
F4044,2:10:32
F2529,2:10:34
F4044,2:10:35
F5054,2:10:35
F3034,2:10:45
M5054,2:10:48
M3034,2:10:56
F3034,2:10:59
M4044,2:11:00
F5054,2:11:01
F5054,2:11:02
F2529,2:11:15
F4549,2:11:17
F4549,2:11:22
F3539,2:11:23
M5054,2:11:26
M4044,2:11:27
F3034,2:11:30
F2529,2:11:32
F3034,2:11:33
F4549,2:11:36
F4549,2:11:37
F4044,2:11:38
F5054,2:11:39
F5054,2:11:41
F1924,2:11:41
F2529,2:11:46
F4549,2:11:47
F3539,2:11:47
F2529,2:11:56
F3539,2:11:57
M5054,2:11:58
M3539,2:11:58
F6064,2:12:02
F3034,2:12:11
F3539,2:12:15
F5054,2:12:17
M5054,2:12:17
M3034,2:12:17
M3539,2:12:17
M3539,2:12:19
F3034,2:12:23
F3034,2:12:23
M3034,2:12:27
M3034,2:12:29
F3034,2:12:29
F3034,2:12:30
M4044,2:12:30
F3539,2:12:30
F3539,2:12:31
M3539,2:12:31
F2529,2:12:31
M4044,2:12:31
F3034,2:12:34
M3539,2:12:35
F4549,2:12:35
M2529,2:12:35
F3539,2:12:40
F3034,2:12:42
F3034,2:12:42
F1924,2:12:52
F4549,2:12:55
M4549,2:12:58
F18UN,2:13:00
M3539,2:13:00
F3539,2:13:01
F2529,2:13:02
F3539,2:13:10
F1924,2:13:16
F4044,2:13:17
M3034,2:13:18
F3539,2:13:20
F4549,2:13:22
F5054,2:13:23
F3539,2:13:23
F2529,2:13:23
F3034,2:13:33
F4044,2:13:34
M4549,2:13:36
F2529,2:13:36
F1924,2:13:39
F5559,2:13:44
F2529,2:13:46
M4044,2:13:47
F4549,2:13:48
M4044,2:13:55
F4549,2:14:00
F4549,2:14:01
F2529,2:14:02
M5054,2:14:03
F4044,2:14:04
F2529,2:14:07
M3539,2:14:10
F5559,2:14:11
F2529,2:14:12
M3034,2:14:13
F3034,2:14:14
F3539,2:14:17
F3034,2:14:18
F2529,2:14:25
M4549,2:14:27
F3034,2:14:31
F2529,2:14:32
F4044,2:14:34
M3539,2:14:36
F4549,2:14:36
F3034,2:14:39
F3539,2:14:39
F5559,2:14:41
M1924,2:14:42
F1924,2:14:42
F3539,2:14:51
F2529,2:14:53
F4044,2:14:55
F2529,2:14:56
F4044,2:14:59
M4044,2:15:00
F2529,2:15:02
F2529,2:15:04
PACER,2:15:05
F3034,2:15:07
M4044,2:15:08
M3034,2:15:08
M5054,2:15:08
M1924,2:15:10
F3034,2:15:11
F3539,2:15:11
F5559,2:15:13
F5559,2:15:17
F5559,2:15:17
F4044,2:15:18
M3539,2:15:18
F2529,2:15:20
F3034,2:15:20
F3539,2:15:23
F3034,2:15:25
F4044,2:15:26
M3034,2:15:27
M6064,2:15:27
M3034,2:15:30
F4044,2:15:38
M4044,2:15:42
M4549,2:15:42
F3539,2:15:45
F5054,2:15:47
F3034,2:15:47
F3034,2:15:51
F2529,2:15:54
M6569,2:15:57
F2529,2:16:01
M3539,2:16:10
F4044,2:16:14
F3539,2:16:14
F3034,2:16:15
F3539,2:16:17
F4549,2:16:22
M4549,2:16:24
F4044,2:16:26
F3034,2:16:27
F3034,2:16:30
M5559,2:16:31
F1924,2:16:32
F1924,2:16:32
F1924,2:16:33
F5559,2:16:36
PACER,2:16:43
M3034,2:16:44
M5054,2:16:46
F3539,2:16:47
F5054,2:16:52
M4044,2:16:53
F4549,2:16:54
M3539,2:16:58
M1924,2:17:08
F1924,2:17:08
F4044,2:17:08
F4044,2:17:09
F4549,2:17:09
M5054,2:17:09
F5054,2:17:10
M3539,2:17:19
M5054,2:17:20
F4044,2:17:21
F2529,2:17:25
F2529,2:17:25
F1924,2:17:26
F2529,2:17:26
F3034,2:17:28
F2529,2:17:30
M3539,2:17:37
M4549,2:17:37
F4044,2:17:40
F4044,2:17:42
M5054,2:17:47
F3539,2:17:56
M4044,2:17:56
F1924,2:17:56
M2529,2:17:56
F4044,2:17:58
F4044,2:18:02
F4044,2:18:02
F2529,2:18:02
F4044,2:18:02
F4044,2:18:03
F1924,2:18:03
F3539,2:18:06
F4044,2:18:07
F4549,2:18:09
F3034,2:18:10
F1924,2:18:13
F3539,2:18:20
F3539,2:18:21
M2529,2:18:23
F2529,2:18:28
F2529,2:18:28
M2529,2:18:28
F3034,2:18:29
F3539,2:18:30
F3034,2:18:30
F5054,2:18:36
F2529,2:18:37
F3539,2:18:37
F2529,2:18:43
M3539,2:18:44
M3539,2:18:45
F3539,2:18:45
M3539,2:18:48
F3539,2:18:51
F3539,2:18:53
F1924,2:18:58
M4044,2:18:59
F3034,2:18:59
M2529,2:19:03
M3034,2:19:06
F1924,2:19:07
F2529,2:19:08
F3034,2:19:10
M5054,2:19:14
F5054,2:19:14
M5054,2:19:15
F4549,2:19:21
M5054,2:19:26
F3034,2:19:27
F3034,2:19:27
M3539,2:19:27
F4044,2:19:28
F3539,2:19:29
F5054,2:19:31
F4044,2:19:31
F4549,2:19:33
F2529,2:19:33
F3539,2:19:37
F3034,2:19:37
F3034,2:19:38
F4044,2:19:48
F3539,2:19:50
F3034,2:19:55
F3539,2:19:57
M4549,2:19:58
F3539,2:19:58
M5559,2:20:00
F4044,2:20:03
F2529,2:20:03
M2529,2:20:04
F4044,2:20:04
M2529,2:20:07
F4549,2:20:08
F5054,2:20:11
M5559,2:20:15
F4044,2:20:16
M1924,2:20:17
M4549,2:20:17
F4044,2:20:18
F4549,2:20:20
F1924,2:20:20
M3539,2:20:33
F2529,2:20:33
PACER,2:20:33
F3034,2:20:33
F4044,2:20:36
M3034,2:20:39
F4044,2:20:51
M3539,2:20:52
F4044,2:20:52
F4044,2:20:54
F4549,2:20:54
F4549,2:20:54
F4549,2:20:56
F3539,2:20:56
F4044,2:20:56
F4549,2:20:57
M2529,2:20:58
M6569,2:21:00
F4549,2:21:03
F3539,2:21:04
F4044,2:21:05
F3034,2:21:05
F4549,2:21:08
F5054,2:21:08
PACER,2:21:08
F4044,2:21:09
F4044,2:21:09
F3034,2:21:13
F2529,2:21:14
F2529,2:21:16
F2529,2:21:20
F3034,2:21:20
F1924,2:21:25
M4549,2:21:25
M2529,2:21:28
M5559,2:21:28
F3539,2:21:29
F5054,2:21:31
M4044,2:21:32
F3539,2:21:32
F3034,2:21:38
M4549,2:21:40
M6569,2:21:41
F2529,2:21:42
F3539,2:21:43
F3034,2:21:59
F4549,2:21:59
M3539,2:22:00
F3539,2:22:00
F4549,2:22:04
F3539,2:22:15
F6064,2:22:16
M3539,2:22:17
F5559,2:22:19
M3539,2:22:20
F4549,2:22:22
F6064,2:22:24
F4549,2:22:39
F3539,2:22:40
F6064,2:22:40
F4549,2:22:41
F5054,2:22:41
F4044,2:22:51
F2529,2:22:53
F5054,2:22:54
F5054,2:22:54
F4044,2:22:58
M1924,2:22:59
F5054,2:23:05
M4549,2:23:06
F1924,2:23:07
M2529,2:23:07
F4044,2:23:07
F3034,2:23:09
F4044,2:23:12
F4044,2:23:15
M3034,2:23:15
F18UN,2:23:17
F18UN,2:23:18
M4044,2:23:20
F2529,2:23:20
M3539,2:23:21
F3034,2:23:28
F3034,2:23:29
M4044,2:23:32
F3539,2:23:35
M4549,2:23:38
F3034,2:23:38
F3034,2:23:38
M6064,2:23:44
F3034,2:23:55
F4549,2:23:58
F3034,2:23:58
F5054,2:24:00
F5559,2:24:00
F3539,2:24:04
M2529,2:24:05
