Age Group Place,Chip Time
1 M 60-64,6:28:23 AM
20 M 45-49,6:28:29 AM
29 M 30-34,6:28:46 AM
29 F 35-39,6:28:49 AM
12 F 40-44,6:28:54 AM
14 M 50-54,6:29:07 AM
13 F 40-44,6:29:18 AM
15 M 50-54,6:29:45 AM
21 F 25-29,6:30:12 AM
30 F 35-39,6:30:49 AM
21 M 45-49,6:31:49 AM
22 M 45-49,6:31:50 AM
2 F 60-64,6:32:23 AM
22 F 25-29,6:32:25 AM
30 M 30-34,6:32:31 AM
20 F 30-34,6:33:00 AM
10 F 50-54,6:33:22 AM
33 M 35-39,6:33:31 AM
21 F 30-34,6:33:42 AM
14 F 40-44,6:33:45 AM
23 F 25-29,6:33:56 AM
6 F 20-24,6:34:20 AM
5 M 55-59,6:34:43 AM
31 M 30-34,6:35:23 AM
37 M 40-44,6:35:28 AM
11 F 50-54,6:35:32 AM
16 F 45-49,6:35:36 AM
23 M 45-49,6:35:57 AM
24 F 25-29,6:36:31 AM
24 M 45-49,6:37:31 AM
32 M 30-34,6:37:38 AM
25 F 25-29,6:37:56 AM
15 F 40-44,6:38:23 AM
38 M 40-44,6:38:32 AM
31 F 35-39,6:39:06 AM
18 M 25-29,6:39:12 AM
6 M 55-59,6:39:13 AM
12 F 50-54,6:39:15 AM
26 F 25-29,6:39:49 AM
32 F 35-39,6:40:12 AM
33 F 35-39,6:40:21 AM
22 F 30-34,6:40:42 AM
34 F 35-39,6:41:00 AM
13 F 50-54,6:41:02 AM
17 F 45-49,6:41:26 AM
16 F 40-44,6:41:36 AM
35 F 35-39,6:41:48 AM
19 M 25-29,6:42:06 AM
25 M 45-49,6:42:15 AM
27 F 25-29,6:42:32 AM
39 M 40-44,6:43:01 AM
36 F 35-39,6:43:12 AM
23 F 30-34,6:44:05 AM
18 F 45-49,6:44:27 AM
24 F 30-34,6:44:36 AM
37 F 35-39,6:44:55 AM
33 M 30-34,6:45:16 AM
25 F 30-34,6:45:16 AM
7 F 20-24,6:46:00 AM
28 F 25-29,6:46:14 AM
19 F 45-49,6:46:35 AM
29 F 25-29,6:46:54 AM
26 F 30-34,6:47:14 AM
17 F 40-44,6:47:24 AM
18 F 40-44,6:47:33 AM
34 M 35-39,6:48:20 AM
27 F 30-34,6:48:40 AM
20 F 45-49,6:48:40 AM
19 F 40-44,6:49:06 AM
20 F 40-44,6:49:20 AM
3 F 55-59,6:49:20 AM
30 F 25-29,6:49:29 AM
16 M 50-54,6:50:03 AM
21 F 40-44,6:50:04 AM
35 M 35-39,6:50:08 AM
31 F 25-29,6:50:08 AM
28 F 30-34,6:50:23 AM
26 M 45-49,6:50:30 AM
38 F 35-39,6:50:47 AM
8 F 20-24,6:50:54 AM
21 F 45-49,6:51:42 AM
34 M 30-34,6:51:43 AM
22 F 40-44,6:51:47 AM
14 F 50-54,6:51:53 AM
17 M 50-54,6:51:58 AM
39 F 35-39,6:52:04 AM
29 F 30-34,6:52:11 AM
2 F 15-19,6:52:23 AM
40 M 40-44,6:52:24 AM
15 F 50-54,6:52:56 AM
40 F 35-39,6:54:00 AM
23 F 40-44,6:54:27 AM
24 F 40-44,6:54:58 AM
18 M 50-54,6:55:05 AM
25 F 40-44,6:55:57 AM
16 F 50-54,6:56:02 AM
32 F 25-29,6:56:19 AM
33 F 25-29,6:56:36 AM
30 F 30-34,6:58:01 AM
41 F 35-39,6:58:03 AM
36 M 35-39,6:58:12 AM
35 M 30-34,6:58:28 AM
22 F 45-49,6:58:36 AM
23 F 45-49,6:58:49 AM
26 F 40-44,6:58:52 AM
27 F 40-44,6:59:10 AM
28 F 40-44,6:59:16 AM
29 F 40-44,6:59:59 AM
31 F 30-34,7:00:19 AM
32 F 30-34,7:00:22 AM
17 F 50-54,7:00:32 AM
37 M 35-39,7:01:01 AM
33 F 30-34,7:02:21 AM
4 F 55-59,7:02:23 AM
3 F 15-19,7:02:49 AM
27 M 45-49,7:03:17 AM
30 F 40-44,7:03:21 AM
34 F 25-29,7:03:22 AM
31 F 40-44,7:04:01 AM
24 F 45-49,7:04:57 AM
32 F 40-44,7:05:17 AM
5 F 55-59,7:06:24 AM
34 F 30-34,7:06:35 AM
35 F 25-29,7:07:06 AM
25 F 45-49,7:07:08 AM
26 F 45-49,7:07:13 AM
33 F 40-44,7:08:01 AM
34 F 40-44,7:08:07 AM
35 F 30-34,7:08:28 AM
42 F 35-39,7:08:30 AM
19 M 50-54,7:09:11 AM
36 F 25-29,7:09:44 AM
9 F 20-24,7:10:12 AM
20 M 50-54,7:10:18 AM
7 M 55-59,7:10:31 AM
36 F 30-34,7:10:31 AM
43 F 35-39,7:11:01 AM
18 F 50-54,7:11:12 AM
21 M 50-54,7:11:20 AM
27 F 45-49,7:11:43 AM
35 F 40-44,7:11:53 AM
28 F 45-49,7:13:35 AM
44 F 35-39,7:13:40 AM
36 F 40-44,7:13:57 AM
37 F 40-44,7:14:43 AM
10 F 20-24,7:15:01 AM
37 F 30-34,7:15:48 AM
37 F 25-29,7:15:58 AM
22 M 50-54,7:16:33 AM
41 M 40-44,7:16:35 AM
45 F 35-39,7:16:44 AM
38 F 30-34,7:17:09 AM
39 F 30-34,7:17:44 AM
11 F 20-24,7:18:40 AM
40 F 30-34,7:18:45 AM
46 F 35-39,7:19:50 AM
6 F 55-59,7:20:06 AM
7 F 55-59,7:20:17 AM
38 F 40-44,7:20:29 AM
29 F 45-49,7:20:52 AM
2 M 65-69,7:21:00 AM
38 M 35-39,7:21:01 AM
39 M 35-39,7:21:24 AM
2 M 60-64,7:22:10 AM
30 F 45-49,7:22:46 AM
28 M 45-49,7:23:25 AM
31 F 45-49,7:23:56 AM
3 M 60-64,7:24:28 AM
41 F 30-34,7:24:33 AM
47 F 35-39,7:24:34 AM
36 M 30-34,7:24:47 AM
42 F 30-34,7:24:57 AM
48 F 35-39,7:25:24 AM
38 F 25-29,7:25:47 AM
19 F 50-54,7:26:12 AM
39 F 40-44,7:26:12 AM
40 F 40-44,7:26:16 AM
49 F 35-39,7:26:38 AM
39 F 25-29,7:27:06 AM
32 F 45-49,7:27:34 AM
43 F 30-34,7:27:35 AM
44 F 30-34,7:28:00 AM
40 F 25-29,7:28:02 AM
41 F 40-44,7:28:24 AM
45 F 30-34,7:28:45 AM
50 F 35-39,7:29:29 AM
51 F 35-39,7:31:09 AM
42 F 40-44,7:31:30 AM
43 F 40-44,7:31:53 AM
46 F 30-34,7:31:56 AM
29 M 45-49,7:32:10 AM
20 F 50-54,7:32:35 AM
41 F 25-29,7:32:35 AM
21 F 50-54,7:32:35 AM
52 F 35-39,7:32:45 AM
33 F 45-49,7:33:20 AM
47 F 30-34,7:33:25 AM
53 F 35-39,7:34:57 AM
54 F 35-39,7:36:00 AM
42 M 40-44,7:36:09 AM
44 F 40-44,7:36:14 AM
20 M 25-29,7:36:38 AM
55 F 35-39,7:36:41 AM
48 F 30-34,7:37:04 AM
34 F 45-49,7:37:20 AM
8 F 55-59,7:37:55 AM
4 M 60-64,7:37:58 AM
23 M 50-54,7:38:38 AM
,7:38:48 AM
56 F 35-39,7:40:33 AM
35 F 45-49,7:40:48 AM
45 F 40-44,7:40:50 AM
3 F 60-64,7:41:28 AM
36 F 45-49,7:41:33 AM
9 F 55-59,7:42:58 AM
22 F 50-54,7:43:30 AM
1 F 65-69,7:44:01 AM
37 F 45-49,7:44:19 AM
30 M 45-49,7:44:20 AM
49 F 30-34,7:46:14 AM
23 F 50-54,7:46:16 AM
10 F 55-59,7:46:44 AM
24 F 50-54,7:46:50 AM
38 F 45-49,7:47:34 AM
50 F 30-34,7:47:46 AM
57 F 35-39,7:47:58 AM
46 F 40-44,7:48:29 AM
58 F 35-39,7:48:51 AM
25 F 50-54,7:49:09 AM
39 F 45-49,7:49:09 AM
26 F 50-54,7:49:47 AM
42 F 25-29,7:50:01 AM
27 F 50-54,7:50:45 AM
28 F 50-54,7:51:38 AM
24 M 50-54,7:51:47 AM
40 F 45-49,7:51:53 AM
41 F 45-49,7:51:54 AM
42 F 45-49,7:51:57 AM
59 F 35-39,7:52:07 AM
51 F 30-34,7:52:33 AM
60 F 35-39,7:52:34 AM
61 F 35-39,7:52:50 AM
43 F 25-29,7:53:06 AM
52 F 30-34,7:54:02 AM
12 F 20-24,7:54:10 AM
37 M 30-34,7:54:27 AM
53 F 30-34,7:55:56 AM
47 F 40-44,7:56:42 AM
62 F 35-39,7:58:56 AM
54 F 30-34,7:59:01 AM
63 F 35-39,8:00:04 AM
40 M 35-39,8:00:17 AM
43 F 45-49,8:02:14 AM
48 F 40-44,8:04:48 AM
55 F 30-34,8:06:20 AM
44 F 45-49,8:06:25 AM
11 F 55-59,8:08:35 AM
56 F 30-34,8:08:36 AM
4 F 60-64,8:10:19 AM
64 F 35-39,8:10:20 AM
41 M 35-39,8:10:21 AM
65 F 35-39,8:13:11 AM
12 F 55-59,8:16:27 AM
44 F 25-29,8:16:27 AM
66 F 35-39,8:17:07 AM
21 M 25-29,8:17:33 AM
57 F 30-34,8:17:35 AM
29 F 50-54,8:18:11 AM
67 F 35-39,8:18:29 AM
58 F 30-34,8:18:38 AM
45 F 45-49,8:19:00 AM
49 F 40-44,8:22:48 AM
46 F 45-49,8:25:04 AM
5 F 60-64,8:25:13 AM
42 M 35-39,8:26:32 AM
30 F 50-54,8:26:44 AM
68 F 35-39,8:27:14 AM
6 F 60-64,8:27:25 AM
7 F 60-64,8:27:42 AM
1 F 70-74,8:27:47 AM
47 F 45-49,8:28:00 AM
69 F 35-39,8:28:34 AM
45 F 25-29,8:29:33 AM
1 M 75-79,8:31:54 AM
70 F 35-39,8:32:03 AM
48 F 45-49,8:35:46 AM
